,,Rolando Pablos,,,,Sonia Traut,,,,Robert T. Melvin,,,,Christopher Reyes,,,,Jade McCullough,,,,Brandon Gonzales,,,,Tim Westley,,,,Manny Pelaez,,,,Bill Ruppel,,,,Armando Dominguez,,,,Adriana Rocha Garcia,,,,Gina Ortiz Jones,,,,Diana Flores Uriegas,,,,Clayton Perry,,,,John Courage,,,,Chris Herring,,,,James 'Jae' Melvin,,,,Andrew Fernandez Vicencio,,,,G. Zambrano,,,,Arturo Espinosa,,,,April Guadarrama,,,,Michael 'Sam' Samaniego,,,,Beto Altamirano,,,,Robert Salinas,,,,Melissa Cabello Havrda,,,,Mauricio 'Mau' Sanchez,,,,Santos Alvarado,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Total
1026,1275,4,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,3,0,1,4,0,0,0,0,0,0,0,0,9,0,4,13,3,1,6,10,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
1028,719,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,2,0,3,5,6,1,7,14,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,5,6,0,0,0,0,0,0,0,0,40
1029,1855,8,1,11,20,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,7,2,10,19,0,1,0,1,1,0,2,3,6,5,13,24,13,6,29,48,1,0,0,1,0,0,1,1,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,3,0,0,0,0,0,0,0,0,1,0,1,2,8,3,28,39,0,0,0,0,3,0,4,7,0,0,2,2,1,1,0,2,182
1030,133,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10
1031,1492,4,0,6,10,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,0,0,0,0,0,4,0,7,11,13,2,17,32,0,0,1,1,2,0,1,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,1,19,36,1,1,0,2,2,0,3,5,0,0,1,1,0,0,0,0,112
1032,2405,4,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,3,7,0,0,0,0,0,0,1,1,9,1,7,17,12,1,19,32,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,15,2,22,39,0,0,1,1,6,0,4,10,0,0,0,0,0,0,0,0,119
1033,2139,1,0,7,8,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,2,0,1,3,1,0,3,4,0,1,4,5,0,0,0,0,0,0,0,0,7,3,13,23,9,2,20,31,0,1,3,4,0,0,3,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,7,1,11,19,0,0,0,0,1,0,3,4,0,0,0,0,0,0,1,1,113
1036,3594,13,4,22,39,1,0,2,3,1,0,2,3,1,0,2,3,0,0,1,1,0,0,4,4,5,0,12,17,6,0,12,18,0,0,2,2,1,0,3,4,22,4,57,83,12,4,36,52,0,0,1,1,5,2,9,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,17,24,0,0,0,0,6,1,10,17,3,0,2,5,1,0,1,2,297
1037,2401,8,0,16,24,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1,0,1,2,3,0,1,4,1,0,7,8,0,0,0,0,0,0,1,1,10,1,20,31,15,3,28,46,1,0,0,1,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,4,14,27,0,0,0,0,5,0,2,7,1,0,2,3,2,0,1,3,166
1038,3922,16,1,21,38,0,0,1,1,1,0,1,2,0,0,4,4,0,0,2,2,1,0,0,1,7,0,16,23,3,1,4,8,0,0,0,0,2,0,1,3,16,5,64,85,30,3,58,91,6,0,2,8,4,0,6,10,1,0,4,5,1,0,1,2,0,0,1,1,1,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,16,20,1,0,0,1,5,0,10,15,0,0,0,0,0,0,0,0,325
1039,3353,4,0,4,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,3,3,1,0,3,4,0,0,0,0,0,0,0,0,27,3,46,76,6,1,18,25,2,0,3,5,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,3,1,13,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,151
1040,2772,6,1,13,20,0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,2,1,0,1,2,3,0,5,8,6,2,12,20,0,0,0,0,1,0,0,1,11,3,39,53,10,3,24,37,1,0,1,2,4,0,3,7,2,1,0,3,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,4,29,41,1,0,2,3,0,1,2,3,0,0,1,1,0,0,0,0,211
1041,2384,5,0,12,17,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,7,8,0,0,0,0,0,0,1,1,9,7,31,47,8,2,30,40,0,0,3,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,10,19,0,0,2,2,4,1,6,11,0,0,1,1,0,0,0,0,156
1042,1167,3,0,6,9,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,2,2,0,0,0,0,0,1,6,7,0,0,0,0,0,0,1,1,7,2,18,27,2,0,9,11,0,0,1,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,9,14,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,83
1043,1576,7,0,12,19,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,3,3,6,0,6,12,0,0,0,0,0,0,0,0,8,3,19,30,3,2,11,16,0,0,0,0,3,0,1,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,11,16,0,0,0,0,4,0,5,9,0,0,0,0,0,0,0,0,115
1044,2078,3,1,13,17,0,0,0,0,0,0,2,2,0,0,1,1,1,0,1,2,0,0,1,1,0,0,1,1,2,0,9,11,0,0,0,0,0,0,0,0,2,4,40,46,9,3,39,51,2,0,1,3,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6,1,17,24,0,0,1,1,1,0,3,4,0,0,1,1,0,0,1,1,176
1045,3313,11,0,18,29,0,0,3,3,0,0,2,2,1,0,0,1,0,0,0,0,2,0,1,3,1,0,4,5,7,0,15,22,0,0,0,0,0,0,2,2,32,2,55,89,20,0,40,60,1,0,1,2,2,0,6,8,1,0,3,4,0,0,1,1,1,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,38,45,1,0,1,2,3,0,4,7,0,0,0,0,0,0,0,0,290
1046,2109,3,0,10,13,2,0,0,2,0,0,2,2,0,0,1,1,1,0,2,3,0,0,1,1,0,0,0,0,6,1,20,27,0,0,0,0,0,0,0,0,18,3,30,51,13,4,46,63,1,0,2,3,0,0,9,9,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,15,17,0,0,0,0,2,0,0,2,3,0,0,3,0,0,1,1,202
1047,1705,9,0,8,17,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,0,1,1,1,0,6,7,0,0,0,0,0,0,0,0,9,0,9,18,24,0,26,50,1,0,1,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,15,0,0,0,0,1,0,4,5,0,0,1,1,0,0,0,0,126
1048,2246,8,0,14,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,4,4,2,0,10,12,0,0,0,0,0,0,0,0,5,0,18,23,23,3,21,47,0,0,4,4,3,0,5,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,15,18,0,0,0,0,3,0,5,8,0,0,0,0,0,0,0,0,152
1049,2453,8,0,10,18,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,1,0,7,8,5,0,8,13,0,0,0,0,0,0,1,1,7,0,11,18,16,1,35,52,0,0,1,1,1,1,4,6,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,1,1,0,0,1,1,12,1,17,30,0,0,0,0,4,0,4,8,0,0,2,2,0,0,0,0,174
1050,821,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,2,8,0,0,0,0,0,0,0,0,5,4,7,16,8,1,7,16,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,14,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,66
1051,2118,12,0,13,25,1,0,0,1,0,0,2,2,4,0,2,6,0,0,1,1,0,0,0,0,1,0,5,6,7,1,4,12,0,0,0,0,0,0,1,1,5,0,17,22,15,0,28,43,0,0,0,0,3,0,8,11,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,26,38,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,181
1052,2080,9,0,17,26,0,0,2,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,4,0,7,11,7,1,12,20,0,0,1,1,0,0,0,0,6,2,7,15,15,2,29,46,0,0,2,2,7,0,2,9,1,0,5,6,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,15,1,34,50,0,0,1,1,5,0,3,8,0,0,0,0,0,0,0,0,205
1053,248,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,2,4,6,0,6,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,3,0,1,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,30
1054,2965,13,0,16,29,1,0,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,2,1,0,5,6,14,0,17,31,0,0,0,0,1,0,2,3,11,2,29,42,46,2,38,86,2,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,0,0,0,2,0,0,2,16,1,30,47,0,0,0,0,6,0,8,14,0,0,0,0,0,0,0,0,275
1055,1970,23,0,22,45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,8,0,8,16,2,0,7,9,0,0,0,0,0,0,0,0,8,0,9,17,28,3,50,81,0,0,0,0,0,0,3,3,3,0,5,8,0,0,0,0,0,0,1,1,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,9,0,12,21,1,0,0,1,22,7,34,63,0,0,0,0,0,0,0,0,272
1056,4959,13,0,17,30,0,0,1,1,0,0,0,0,2,0,0,2,0,0,1,1,0,0,2,2,7,0,5,12,6,3,8,17,0,0,0,0,1,0,0,1,19,0,15,34,47,4,68,119,3,0,5,8,2,0,3,5,3,0,3,6,0,0,0,0,4,0,3,7,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,16,0,30,46,0,0,2,2,3,0,2,5,0,0,1,1,1,0,1,2,304
1057,2893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
